qchr	qpos	direction	id	gid	gchr	gbeg	gend	qchr.g	marker	qpos.g	qleft.g	qright.g	LOD	ADD	Rsqure	type	type2	mid
2	3369070	-1	29176	Zm00001d023939	10	30314944	30317071	2	44	63.6	58.8	69.6	4.36	-0.64	0.06	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	3092	Zm00001d032386	1	225026376	225031085	2	44	64.6	58.8	69.6	4.18	-0.91	0.11	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	3269	Zm00001d032672	1	233748435	233748935	2	44	63.6	61.9	70.9	5.06	-0.9	0.14	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	4297	Zm00001d034283	1	288457795	288458472	2	44	63.6	58.8	69.6	4.51	-0.8	0.12	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	4577	Zm00001d034663	1	299194181	299196764	2	44	63.6	62.8	64.6	8.4	-1.71	0.08	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	4634	Zm00001d034731	1	300940580	300942400	2	44	63.6	62.8	70.9	8	-0.14	0.19	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	20319	Zm00001d038126	6	148784939	148788210	2	44	63.6	61.9	64.7	4.91	-0.62	0.1	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	8736	Zm00001d039687	3	11887224	11888369	2	44	63.6	58.8	64.6	5.14	-0.43	0.11	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	11482	Zm00001d044445	3	228253462	228257016	2	44	63.6	59.8	71.7	5.58	-1.91	0.12	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	26890	Zm00001d045458	9	23018536	23019558	2	44	63.6	59.9	70.9	7.65	-6.84	0.21	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	27304	Zm00001d046467	9	91188676	91199100	2	44	63.6	58.8	68.6	6.07	-0.71	0.11	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	12286	Zm00001d049650	4	38759286	38759876	2	44	63.6	62.8	64.6	4.79	-1.21	0.11	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	12372	Zm00001d049768	4	43894260	43895922	2	44	63.6	57.8	64.7	5.39	-0.4	0.14	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	12827	Zm00001d050910	4	130225510	130230340	2	44	64.6	62.8	71.7	5.67	-0.87	0.16	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	14723	Zm00001d053925	4	243689888	243690757	2	44	63.6	58.8	69.6	6.4	-0.5	0.17	trans	trans	trans-eQTL-B.hs03
2	3712882	-1	6216	Zm00001d000126	B73V4_ctg56	252289	254953	2	48	69.6	63.6	70.9	6.11	-4.6	0.16	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	4974	Zm00001d001962	2	3572227	3587792	2	48	69.6	68.6	70.9	26.48	-5.04	0.53	cis	cis	trans-eQTL-B.hs04
2	3712882	-1	5625	Zm00001d002880	2	25546609	25550239	2	48	69.6	63.6	71.7	4.39	-0.51	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	5742	Zm00001d003072	2	31124353	31128731	2	48	69.6	68.6	76.8	5.12	-0.51	0.15	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	23667	Zm00001d008187	8	683269	684645	2	48	69.6	68.6	70.9	5.67	-0.1	0.18	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	25456	Zm00001d011321	8	146619391	146622999	2	48	69.6	62.8	71.7	5.53	-1.97	0.17	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	25584	Zm00001d011543	8	154129779	154130258	2	48	69.6	63.6	71.7	6.9	-0.11	0.2	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	25769	Zm00001d011826	8	162215583	162216743	2	48	69.6	68.6	70.9	8.13	-0.56	0.2	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	25924	Zm00001d012049	8	167234279	167239072	2	48	69.6	68.6	70.9	5.54	-0.55	0.08	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	26261	Zm00001d012537	8	176319099	176327611	2	48	69.6	63.6	70.2	6.25	-2.08	0.18	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	14896	Zm00001d012824	5	928945	929484	2	48	69.6	68.6	71.7	4.26	-0.71	0.03	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	15664	Zm00001d013743	5	19054731	19055414	2	48	69.6	68.6	71.7	4.72	-0.23	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	16345	Zm00001d014816	5	64424633	64426235	2	48	69.6	59.9	71.7	7.79	-0.27	0.23	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	16609	Zm00001d015249	5	81201238	81215517	2	48	69.6	68.6	71.7	4.71	-0.13	0.12	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	16711	Zm00001d015421	5	89376383	89379344	2	48	69.6	68.6	70.9	6.41	-0.56	0.17	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	17239	Zm00001d016606	5	169941760	169949748	2	48	69.6	64.6	70.9	5.3	-1.61	0.11	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	17349	Zm00001d016811	5	176930372	176936129	2	48	69.6	68.6	76.8	7.26	-0.17	0.2	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	18083	Zm00001d017928	5	210212564	210215163	2	48	69.6	63.6	76.8	4.59	-0.18	0.15	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	21452	Zm00001d018902	7	8758340	8762850	2	48	69.6	64.6	71.7	5.89	-0.43	0.09	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	21591	Zm00001d019184	7	20586893	20592591	2	48	69.6	68.6	70.2	4.34	-0.15	0.05	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	22358	Zm00001d020808	7	133517158	133521665	2	48	69.6	62.8	70.9	5.83	-0.77	0.08	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	29506	Zm00001d024672	10	83125173	83126249	2	48	69.6	64.6	76.8	4.28	-0.11	0.1	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	29519	Zm00001d024687	10	83604546	83607822	2	48	69.6	62.8	71.7	4.69	-0.07	0.12	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	30054	Zm00001d025761	10	128644589	128648111	2	48	69.6	64.6	71.7	6.65	-0.6	0.21	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	278	Zm00001d027613	1	9015345	9016646	2	48	69.6	68.6	70.9	6.23	-2.06	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	1265	Zm00001d029038	1	55696857	55698513	2	48	69.6	68.6	70.9	7.42	-1.44	0.21	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	3573	Zm00001d033194	1	253390407	253392701	2	48	69.6	68.6	71.7	6.04	-2.84	0.12	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	18690	Zm00001d035086	6	4484147	4489968	2	48	69.6	63.6	71.7	6.02	-0.75	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	19889	Zm00001d037495	6	127258380	127262098	2	48	69.6	56.8	70.2	4.82	-0.35	0.03	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	20333	Zm00001d038147	6	149398193	149403023	2	48	69.6	68.6	70.9	6.02	-4.47	0.03	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	8762	Zm00001d039717	3	12897204	12900576	2	48	69.6	64.6	76.8	4.96	-0.97	0.12	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	8846	Zm00001d039893	3	18371543	18374234	2	48	69.6	68.6	76.8	6.92	-0.37	0.21	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	10041	Zm00001d042363	3	163299606	163305479	2	48	69.6	63.6	70.9	8.8	-1.22	0.26	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	10291	Zm00001d042738	3	178550428	178559208	2	48	69.6	68.6	76.8	7.38	-0.14	0.21	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	10470	Zm00001d043047	3	187342506	187347984	2	48	69.6	63.6	71.7	6.43	-0.64	0.19	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	10994	Zm00001d043742	3	208848838	208850514	2	48	69.6	62.8	71.7	5.11	-0.06	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	26718	Zm00001d045174	9	15127211	15128029	2	48	69.6	68.6	71.7	5.13	-2.52	0.01	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	26751	Zm00001d045220	9	16480498	16482677	2	48	69.6	68.6	71.7	7.42	-1.99	0.04	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	27310	Zm00001d046472	9	91532960	91535425	2	48	69.6	65.7	76.8	4.54	-0.52	0.05	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	27938	Zm00001d047512	9	133117299	133119480	2	48	69.6	68.6	71.7	4.39	-1.19	0.09	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	11708	Zm00001d048583	4	220381	224895	2	48	69.6	63.6	70.9	6.65	-0.65	0.18	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	12176	Zm00001d049485	4	31972821	31973600	2	48	69.6	68.6	70.2	4.39	-0.07	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	12378	Zm00001d049786	4	44641463	44643952	2	48	69.6	63.6	71.7	5.97	-0.33	0.16	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	12445	Zm00001d049926	4	53429242	53431331	2	48	69.6	68.6	70.9	4.74	-0.27	0.1	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	13287	Zm00001d051749	4	168776069	168778157	2	48	69.6	63.6	70.2	4.29	-0.91	0.1	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	13708	Zm00001d052343	4	187573638	187579315	2	48	69.6	62.8	72.7	4.68	-0.33	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	14233	Zm00001d053189	4	218977061	218981425	2	48	69.6	68.6	71.7	5.83	-0.38	0.13	trans	trans	trans-eQTL-B.hs04
2	3712882	-1	14355	Zm00001d053433	4	231211646	231212191	2	48	69.6	59.9	70.9	5.88	-0.2	0.14	trans	trans	trans-eQTL-B.hs04
2	4067006	-1	5629	Zm00001d002889	2	25913912	25921339	2	51	71.7	65.7	76.8	4.27	-1.89	0.12	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	5790	Zm00001d003157	2	33981493	33984783	2	51	71.7	68.6	76.8	5.44	-34.99	0.08	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	5863	Zm00001d003252	2	37956894	37965162	2	51	71.7	65.7	76.8	5.64	-1.7	0.15	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	6789	Zm00001d005253	2	165939745	165942452	2	51	76.7	70.2	76.8	4.47	-0.99	0.11	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	7772	Zm00001d006879	2	218402879	218403637	2	51	71.7	70.2	76.8	5.15	-0.03	0.15	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	8130	Zm00001d007454	2	232021518	232025481	2	51	71.7	70.2	76.8	4.25	-0.2	0.12	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	23834	Zm00001d008397	8	7232820	7233317	2	51	76.7	70.2	76.8	6.64	-0.29	0.17	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	23856	Zm00001d008422	8	8312884	8317910	2	51	71.7	70.9	82.8	4.3	-0.52	0.12	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	25538	Zm00001d011467	8	151280912	151281930	2	51	76.7	70.9	76.8	7.25	-1.46	0.21	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	25642	Zm00001d011632	8	156789926	156801563	2	51	71.7	68.6	76.8	5.22	-0.24	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	25674	Zm00001d011676	8	158309275	158313766	2	51	71.7	70.2	76.8	4.94	-0.79	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	16034	Zm00001d014361	5	42781755	42792622	2	51	76.7	70.2	76.8	5.86	-0.33	0.17	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	17460	Zm00001d016991	5	182159462	182159776	2	51	71.7	70.2	76.8	5.53	-3.52	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	18467	Zm00001d018419	5	220377492	220379540	2	51	71.7	70.2	76.8	5.5	-0.36	0.12	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	22026	Zm00001d020296	7	104757541	104760661	2	51	71.7	70.2	76.8	5.78	-0.23	0.17	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	22592	Zm00001d021224	7	146508204	146510684	2	51	71.7	70.2	76.8	5.37	-1.09	0.1	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	23604	Zm00001d022565	7	180091654	180095992	2	51	71.7	70.2	76.7	5.12	-0.86	0.15	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	30520	Zm00001d026405	10	145315798	145319169	2	51	71.7	70.2	76.8	7.79	-1.23	0.19	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	427	Zm00001d027856	1	15401478	15402767	2	51	76.7	70.2	76.8	4.77	-1.59	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	699	Zm00001d028226	1	27268250	27269466	2	51	76.7	68.6	76.8	7.93	-1.06	0.24	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	810	Zm00001d028392	1	33147676	33150346	2	51	71.7	65.7	76.8	7.79	-4.39	0.11	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	1025	Zm00001d028704	1	43713184	43724218	2	51	74.7	70.2	76.8	6.06	-0.25	0.02	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	1162	Zm00001d028909	1	50719302	50721399	2	51	71.7	64.6	76.8	4.37	-0.34	0.13	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	1299	Zm00001d029067	1	56999172	57000011	2	51	75.7	68.6	76.8	4.76	-0.15	0.13	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	2148	Zm00001d030762	1	158943124	158944072	2	51	71.7	70.2	76.8	9.66	-0.26	0.27	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	3074	Zm00001d032353	1	223545282	223577431	2	51	71.7	68.6	76.8	4.95	-0.13	0.08	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	3268	Zm00001d032671	1	233744077	233747008	2	51	71.7	68.6	76.8	4.94	-0.42	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	3683	Zm00001d033371	1	260861765	260871429	2	51	71.7	70.2	76.8	4.84	-1.09	0.05	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	20726	Zm00001d038648	6	161702211	161706863	2	51	76.7	70.2	76.8	4.6	-0.84	0.13	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	9587	Zm00001d041594	3	129061337	129065180	2	51	76.7	70.2	76.8	4.18	-0.65	0.02	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	9706	Zm00001d041804	3	138831576	138832497	2	51	76.7	68.6	76.8	4.68	-0.41	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	10095	Zm00001d042454	3	168343337	168345376	2	51	76.7	65.7	76.8	4.45	-0.82	0.1	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	27327	Zm00001d046509	9	93157089	93173690	2	51	76.7	70.2	76.8	4.99	-0.3	0.14	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	12142	Zm00001d049387	4	28605301	28606526	2	51	71.7	70.2	76.8	8.02	-1.47	0.23	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	12674	Zm00001d050403	4	86240240	86241629	2	51	71.7	70.2	76.8	9.02	-2.11	0.26	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	12843	Zm00001d050935	4	132604348	132607277	2	51	71.7	68.6	76.8	4.7	-0.54	0.13	trans	trans	trans-eQTL-B.hs05
2	4067006	-1	13799	Zm00001d052475	4	190839085	190842202	2	51	71.7	70.2	76.8	5.7	-1.55	0.15	trans	trans	trans-eQTL-B.hs05
