mid	gid	funcat	opt
trans-eQTL-B.hs13	Zm00001d029561		trans-eQTL
trans-eQTL-B.hs13	Zm00001d030230		trans-eQTL
trans-eQTL-B.hs13	Zm00001d030239		trans-eQTL
trans-eQTL-B.hs13	Zm00001d030340		trans-eQTL
trans-eQTL-B.hs13	Zm00001d031005		trans-eQTL
trans-eQTL-B.hs13	Zm00001d031891		trans-eQTL
trans-eQTL-B.hs13	Zm00001d032464		trans-eQTL
trans-eQTL-B.hs13	Zm00001d032735		trans-eQTL
trans-eQTL-B.hs13	Zm00001d033158		trans-eQTL
trans-eQTL-B.hs13	Zm00001d033193		trans-eQTL
trans-eQTL-B.hs13	Zm00001d033616		trans-eQTL
trans-eQTL-B.hs13	Zm00001d033764		trans-eQTL
trans-eQTL-B.hs13	Zm00001d033827		trans-eQTL
trans-eQTL-B.hs13	Zm00001d034206		trans-eQTL
trans-eQTL-B.hs13	Zm00001d034490		trans-eQTL
trans-eQTL-B.hs13	Zm00001d034510		trans-eQTL
trans-eQTL-B.hs13	Zm00001d034702		trans-eQTL
trans-eQTL-B.hs13	Zm00001d034894		trans-eQTL
trans-eQTL-B.hs13	Zm00001d035065		trans-eQTL
trans-eQTL-B.hs13	Zm00001d036351		trans-eQTL
trans-eQTL-B.hs13	Zm00001d036624		trans-eQTL
trans-eQTL-B.hs13	Zm00001d037099		trans-eQTL
trans-eQTL-B.hs13	Zm00001d037377		trans-eQTL
trans-eQTL-B.hs13	Zm00001d037836		trans-eQTL
trans-eQTL-B.hs13	Zm00001d037858		trans-eQTL
