SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR7477403	leaf	FBLL	NA	1	TRUE	27183877	26812660	371217	26812660	0	0	25736012	24880572	17800705	18340261	0	0	0	0	1076648	0	0	0	0	0	0	0	0	23455194	2192097	1128994	296384	1076648
SRR7477404	leaf	PHW65-MoG-115	NA	1	TRUE	27326652	26904360	422292	26904360	0	0	25671218	24657248	10877838	11212420	0	0	0	0	1233142	0	0	0	0	0	0	0	0	23359032	2572380	1036110	262106	1233142
SRR7477405	leaf	LH225	NA	1	TRUE	20395417	20174328	221089	20174328	0	0	19155285	18388533	9481040	9782889	0	0	0	0	1019043	0	0	0	0	0	0	0	0	17242558	1981454	920865	225110	1019043
SRR7477406	leaf	PHHB4-1	NA	1	TRUE	24964741	24718608	246133	24718608	0	0	23646381	22757103	13052919	13445636	0	0	0	0	1072227	0	0	0	0	0	0	0	0	21485834	2278891	995642	275627	1072227
SRR7975329	leaf	NK807	NA	1	TRUE	15874615	15649458	225157	15649458	0	0	14480766	13852787	6534771	6782928	0	0	0	0	1168692	0	0	0	0	0	0	0	0	13073395	2113902	615757	163635	1168692
SRR7975330	leaf	NQ402	NA	1	TRUE	31158309	30547583	610726	30547583	0	0	28016671	26789813	11748068	12191925	0	0	0	0	2530912	0	0	0	0	0	0	0	0	25324036	4299772	1153422	312355	2530912
SRR7975331	leaf	91BMA2	NA	1	TRUE	13927941	13773218	154723	13773218	0	0	12968007	12456364	6329618	6534722	0	0	0	0	805211	0	0	0	0	0	0	0	0	11747386	1454449	570117	138861	805211
SRR7975332	leaf	F274	NA	1	TRUE	29893148	29414289	478859	29414289	0	0	27904528	26786011	15121964	15687659	0	0	0	0	1509761	0	0	0	0	0	0	0	0	25374996	3368852	1096960	314055	1509761
SRR7975333	leaf	NK778	NA	1	TRUE	28784107	28033287	750820	28033287	0	0	26503050	25452903	10016320	10339899	0	0	0	0	1530237	0	0	0	0	0	0	0	0	24135676	2982383	1031538	285689	1530237
SRR7975334	leaf	8M116	NA	1	TRUE	11336883	11187878	149005	11187878	0	0	10541984	10078786	4563309	4744814	0	0	0	0	645894	0	0	0	0	0	0	0	0	9498814	1334722	451259	128713	645894
SRR7975335	leaf	NC362	NA	1	TRUE	28672242	28065997	606245	28065997	0	0	25155185	23778790	8680284	9194314	0	0	0	0	2910812	0	0	0	0	0	0	0	0	22375878	5069997	1125684	277228	2910812
SRR7975336	leaf	NC364	NA	1	TRUE	26005629	25532279	473350	25532279	0	0	22926092	21778399	8019970	8453433	0	0	0	0	2606187	0	0	0	0	0	0	0	0	20727196	4266636	796884	254319	2606187
SRR7975337	leaf	OQ603	NA	1	TRUE	33864349	33108946	755403	33108946	0	0	28955757	27569628	11691385	12249098	0	0	0	0	4153189	0	0	0	0	0	0	0	0	26086913	5921911	1176375	306340	4153189
SRR7975338	leaf	NC222	NA	1	TRUE	31945187	31129717	815470	31129717	0	0	29174048	27864526	10465464	10880793	0	0	0	0	1955669	0	0	0	0	0	0	0	0	26159521	4035479	1385473	319532	1955669
SRR7975339	leaf	PHBA6	NA	1	TRUE	14294219	14121975	172244	14121975	0	0	10622927	9820630	4408997	4855038	0	0	0	0	3499048	0	0	0	0	0	0	0	0	9278642	4282931	434009	107979	3499048
SRR7975340	leaf	Pa875	NA	1	TRUE	29332263	28574749	757514	28574749	0	0	26736005	25607458	9530897	9908586	0	0	0	0	1838744	0	0	0	0	0	0	0	0	24264930	3256364	1060519	282009	1838744
SRR7975341	leaf	PHG71	NA	1	TRUE	17946792	17740033	206759	17740033	0	0	16856813	16216446	8053397	8311651	0	0	0	0	883220	0	0	0	0	0	0	0	0	15358888	1751228	679786	177772	883220
SRR7975342	leaf	LH223	NA	1	TRUE	28592446	28227403	365043	28227403	0	0	27400954	26377880	12576165	12994057	0	0	0	0	826449	0	0	0	0	0	0	0	0	25081809	2737821	998102	297969	826449
SRR7975343	leaf	PHHH9	NA	1	TRUE	14522480	14325409	197071	14325409	0	0	13373595	12861069	6659463	6879797	0	0	0	0	951814	0	0	0	0	0	0	0	0	12179235	1657575	535283	146551	951814
SRR7975344	leaf	PHG86	NA	1	TRUE	11686034	11522363	163671	11522363	0	0	10961555	10513862	4545851	4705694	0	0	0	0	560808	0	0	0	0	0	0	0	0	9952629	1302134	443313	117920	560808
SRR7975345	leaf	OS602	NA	1	TRUE	26528822	26034247	494575	26034247	0	0	25167949	24235789	10120867	10393235	0	0	0	0	866298	0	0	0	0	0	0	0	0	23042883	2537496	914796	278110	866298
SRR7975346	leaf	PHHV4	NA	1	TRUE	13571481	13246374	325107	13246374	0	0	12654908	12203150	6498724	6710167	0	0	0	0	591466	0	0	0	0	0	0	0	0	11489289	1207549	553235	160626	591466
SRR7975347	leaf	PHN34	NA	1	TRUE	12009764	11739845	269919	11739845	0	0	10259852	9609168	3581126	3852083	0	0	0	0	1479993	0	0	0	0	0	0	0	0	9070905	2473833	426451	111812	1479993
SRR7975348	leaf	PHR55	NA	1	TRUE	9359421	9155525	203896	9155525	0	0	8842407	8530159	3658118	3769945	0	0	0	0	313118	0	0	0	0	0	0	0	0	8148271	784498	286439	95449	313118
SRR7975349	leaf	PHR30	NA	1	TRUE	11279395	10887187	392208	10887187	0	0	10292109	9873693	3557759	3666549	0	0	0	0	595078	0	0	0	0	0	0	0	0	9361513	1169761	397006	115174	595078
SRR7975350	leaf	PHR47	NA	1	TRUE	10948600	10684370	264230	10684370	0	0	8942660	8425530	3254036	3458607	0	0	0	0	1741710	0	0	0	0	0	0	0	0	7928776	2260577	391146	105608	1741710
