SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	inbred	pa1	pa2	paired	spots	avgLength
bm217	Endosperm	LH85xPH207	""	1	m201	FALSE	LH85	PH207	TRUE	44278389	302
bm218	Endosperm	LH93xB73	""	1	m202	FALSE	LH93	B73	TRUE	39523877	302
bm219	Endosperm	LH93xMo17	""	1	m203	FALSE	LH93	Mo17	TRUE	24503442	302
bm220	Endosperm	LH93xPH207	""	1	m204	FALSE	LH93	PH207	TRUE	45458536	302
bm221	Endosperm	Mo45xB73	""	1	m205	FALSE	Mo45	B73	TRUE	41288512	302
bm222	Endosperm	Mo45xPH207	""	1	m206	FALSE	Mo45	PH207	TRUE	43046173	302
bm223	Endosperm	NC230xMo17	""	1	m207	FALSE	NC230	Mo17	TRUE	34608147	302
bm224	Endosperm	NKH8431xMo17	""	1	m208	FALSE	NKH8431	Mo17	TRUE	39333610	302
bm225	Endosperm	NKH8431xPH207	""	1	m209	FALSE	NKH8431	PH207	TRUE	27609068	302
bm226	Endosperm	NKS8326xB73	""	1	m210	FALSE	NKS8326	B73	TRUE	34229142	302
bm227	Endosperm	NKS8326xMo17	""	1	m211	FALSE	NKS8326	Mo17	TRUE	34215586	302
bm228	Endosperm	NKS8326xPH207	""	1	m212	FALSE	NKS8326	PH207	TRUE	33393815	302
bm229	Endosperm	Ny821xB73	""	1	m213	FALSE	Ny821	B73	TRUE	33932096	302
bm230	Endosperm	Ny821xPH207	""	1	m214	FALSE	Ny821	PH207	TRUE	35898813	302
bm231	Endosperm	Oh43xPH207	""	1	m215	FALSE	Oh43	PH207	TRUE	34425285	302
bm232	Endosperm	PH207xB73	""	1	m216	FALSE	PH207	B73	TRUE	32555943	302
bm233	Endosperm	PH207xMo17	""	1	m217	FALSE	PH207	Mo17	TRUE	35871365	302
bm234	Endosperm	PHB47xB73	""	1	m218	FALSE	PHB47	B73	TRUE	39422859	302
bm235	Endosperm	PHB47xMo17	""	1	m219	FALSE	PHB47	Mo17	TRUE	34275990	302
bm236	Endosperm	PHB47xPH207	""	1	m220	FALSE	PHB47	PH207	TRUE	35249661	302
bm237	Endosperm	PHG29xB73	""	1	m221	FALSE	PHG29	B73	TRUE	36758397	302
bm238	Endosperm	PHG29xMo17	""	1	m222	FALSE	PHG29	Mo17	TRUE	30374298	302
bm239	Endosperm	PHG29xPH207	""	1	m223	FALSE	PHG29	PH207	TRUE	43520939	302
bm240	Endosperm	PHG35xMo17	""	1	m224	FALSE	PHG35	Mo17	TRUE	46648234	302
bm241	Endosperm	PHG35xPH207	""	1	m225	FALSE	PHG35	PH207	TRUE	46502539	302
bm242	Endosperm	PHG39xB73	""	1	m226	FALSE	PHG39	B73	TRUE	20917028	302
bm243	Endosperm	PHG39xMo17	""	1	m227	FALSE	PHG39	Mo17	TRUE	45576903	302
bm244	Endosperm	PHG47xB73	""	1	m228	FALSE	PHG47	B73	TRUE	40006327	302
bm245	Endosperm	PHG47xMo17	""	1	m229	FALSE	PHG47	Mo17	TRUE	32506251	302
bm246	Endosperm	PHG47xPH207	""	1	m230	FALSE	PHG47	PH207	TRUE	32222283	302
bm247	Endosperm	PHG50xPH207	""	1	m231	FALSE	PHG50	PH207	TRUE	32375761	302
bm248	Endosperm	PHG72xB73	""	1	m232	FALSE	PHG72	B73	TRUE	28871595	302
bm249	Endosperm	PHG72xMo17	""	1	m233	FALSE	PHG72	Mo17	TRUE	30045841	302
bm250	Endosperm	PHG72xPH207	""	1	m234	FALSE	PHG72	PH207	TRUE	32665713	302
bm251	Endosperm	PHG83xB73	""	1	m235	FALSE	PHG83	B73	TRUE	33300447	302
bm252	Endosperm	PHG83xPH207	""	1	m236	FALSE	PHG83	PH207	TRUE	29488708	302
bm253	Endosperm	PHJ40xPH207	""	1	m237	FALSE	PHJ40	PH207	TRUE	39021403	302
bm254	Endosperm	PHN11xB73	""	1	m238	FALSE	PHN11	B73	TRUE	31277087	302
bm255	Endosperm	PHN11xPH207	""	1	m239	FALSE	PHN11	PH207	TRUE	34736571	302
