SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm253	Endosperm	LH93xB73	NA	1	FALSE	39523877	33441192	6003191	53242	26252	34212584	3825709	1459332	25049919	9111892	3347034	560866	1817127
bm254	Seedling	LH93xMo17	NA	1	FALSE	41835290	37616427	4164770	40227	13866	38910444	1885401	1025579	69263007	0	3708696	942804	2492492
bm255	Leaf	LH93xMo17	NA	1	FALSE	33025776	29382948	3589353	39209	14266	29855799	1387970	1767741	24298347	3454079	1975994	268202	1740850
bm256	Root	LH93xMo17	NA	1	FALSE	31734254	28336858	3345989	34890	16517	27908155	1300293	2509289	23212128	3024866	1356517	318208	2401365
bm257	Endosperm	LH93xMo17	NA	1	FALSE	24503442	21591685	2866543	24054	21160	21663514	2223049	595719	16767376	5813144	1938239	390893	695806
bm258	Internode	LH93xMo17	NA	1	FALSE	33002364	28618606	4337098	32530	14130	30677567	1286089	1024578	25042887	2972180	1264193	296587	1048872
bm259	Endosperm	LH93xPH207	NA	1	FALSE	45458536	39786083	5604348	48900	19205	38634133	5323907	1481291	28840574	13508888	4347542	574962	1916144
bm260	Internode	Mo17xB73	NA	1	FALSE	29457684	26944299	2483692	21048	8645	27984652	943810	520577	24095948	2138193	1201812	298631	584997
bm261	Seedling	Mo17xB73	NA	1	FALSE	36122889	31931922	4134919	38017	18031	33946879	1468831	689148	28601530	3157704	1035526	381127	823271
bm262	Leaf	Mo17xB73	NA	1	FALSE	33134974	28199158	4887981	32231	15604	29460156	1557824	2101390	22831212	3875377	1915351	278010	2039650
bm263	Root	Mo17xB73	NA	1	FALSE	37760827	34196569	3512617	39472	12169	35579047	1206915	962696	30411539	2733249	1400644	384902	1057172
bm264	Endosperm	Mo17xB73	NA	1	FALSE	45850442	41198899	4567881	64639	19023	40946195	3542334	1342890	33249303	7339857	2521655	979264	1918297
bm265	Endosperm	Mo17xB73	NA	2	FALSE	34822028	31671903	3076705	49029	24391	30031787	3384286	1381564	24684040	5435457	1973384	666237	2522809
bm266	Seedling	Mo17xOh43	NA	1	FALSE	33601217	29041795	4511113	33141	15168	30095728	1764394	1725927	24256927	4042058	1397815	346438	1729685
bm267	Leaf	Mo17xOh43	NA	1	FALSE	35951207	31272607	4620752	41770	16078	32934603	1842351	1158175	26918799	4079690	1395099	307220	1329613
bm268	Root	Mo17xOh43	NA	1	FALSE	34041994	30266218	3712001	42493	21282	29370947	1516899	3132866	24069749	3592510	1625888	354084	3002393
bm269	Internode	Mo17xOh43	NA	1	FALSE	37081792	32354709	4671407	40691	14985	33529963	2258795	1278049	27159474	3767081	1681950	403570	1971709
bm270	Endosperm	Mo17xPH207	NA	1	FALSE	29672060	26171628	3467948	22296	10188	26082105	2741168	838599	20211162	6959151	2392683	406182	849169
bm271	Internode	Mo17xPH207	NA	1	FALSE	33110532	29317445	3754302	24212	14573	30960099	1187902	947958	25803686	2745673	1218536	330248	916101
bm272	Seedling	Mo17xPH207	NA	1	FALSE	28857821	25863419	2956680	26927	10795	26651728	1330560	864738	22310365	3171348	1288713	297956	873671
bm273	Leaf	Mo17xPH207	NA	1	FALSE	31927512	27568283	4312966	33662	12601	28906888	1474286	1533737	23373483	3437189	1294684	271003	1533109
bm274	Root	Mo17xPH207	NA	1	FALSE	31611734	27033822	4534592	29103	14217	28500899	1575818	1520800	47389278	0	4633145	809010	3243289
bm275	Seedling	Mo17xPHG29	NA	1	FALSE	30209422	26498041	3675876	23309	12196	27082642	1478634	1635950	22179340	3334646	1215223	316363	1678146
bm276	Internode	Mo17xPHG29	NA	1	FALSE	28874120	26848591	1993505	22292	9732	27156597	1019721	688070	48770895	0	2905855	716191	1531644
bm277	Root	Mo17xPHG29	NA	1	FALSE	32747715	29320476	3377983	34983	14273	28760681	1462349	2510412	23635488	3624921	1744992	342585	2404783
bm278	Leaf	Mo17xPHG29	NA	1	FALSE	38922022	33381839	5468101	54375	17707	34188777	3275597	1439941	27577551	5677310	1425312	326975	2459380
bm279	Leaf	Mo17xPHG29	NA	2	FALSE	39418878	33705053	5639307	56172	18346	35750499	1890856	1759177	28786086	4218967	1388737	344476	1824474
bm280	Seedling	Mo44xB73	NA	1	FALSE	32510588	29303574	3161626	32945	12443	30485341	1331546	681258	26149027	2900979	978317	350321	773330
bm281	Leaf	Mo44xB73	NA	1	FALSE	34237192	29892731	4294893	35018	14550	31571501	1490623	1160518	25272174	3629287	1949158	296816	1227708
bm282	Root	Mo44xB73	NA	1	FALSE	32124037	27246877	4834088	29291	13781	29548749	1015192	1546315	23715676	2234387	1006360	320380	1498124
bm283	Internode	Mo44xB73	NA	1	FALSE	39869292	35413108	4395061	41293	19830	36673963	1341834	1833665	30642204	2897228	1508493	436689	1858292
bm284	Seedling	Mo44xMo17	NA	1	FALSE	32876815	30170499	2660002	31361	14953	29948980	1680872	1232010	25914442	3665065	1266671	315898	1386957
bm285	Internode	Mo44xMo17	NA	1	FALSE	31350230	28652758	2660945	25419	11108	29260506	1260798	817818	25050946	2860075	1353602	330473	891931
bm286	Root	Mo44xMo17	NA	1	FALSE	36964631	32546879	4359950	40430	17372	33866604	1724445	1356210	27635926	3860249	1767204	391796	1486330
bm287	Leaf	Mo44xMo17	NA	1	FALSE	33815339	28258851	5495655	44385	16448	30337973	1771739	1689179	23891330	3727822	1093084	292355	1807832
bm288	Leaf	Mo44xMo17	NA	2	FALSE	38829631	33602841	5156354	53839	16597	35741908	1793061	1278065	29184602	4042845	1355032	350136	1348502
