SampleID	Tissue	Genotype	Treatment	Replicate	paired	inbred
SRR8043204	leaf	DKFAPWxB73	R	2	FALSE	FALSE
SRR8043205	leaf	Q381xB73	E	1	FALSE	FALSE
SRR8043206	leaf	B84xMo17	R	2	FALSE	FALSE
SRR8043207	leaf	H99xB73	L	2	TRUE	FALSE
SRR8043208	leaf	H99xMo17	L	2	TRUE	FALSE
SRR8043209	leaf	PHW65xB73	E	1	TRUE	FALSE
SRR8043210	leaf	PHG39xMo17	R	1	FALSE	FALSE
SRR8043211	leaf	PHW65xPH207	E	1	TRUE	FALSE
SRR8043212	leaf	W64AxPH207	E	1	TRUE	FALSE
SRR8043213	leaf	Q381xMo17	E	1	TRUE	FALSE
SRR8043214	leaf	Mo45xPH207	E	1	FALSE	FALSE
SRR8043215	leaf	PHN11xPH207	E	1	TRUE	FALSE
SRR8043216	leaf	PHW65xMo17	E	1	TRUE	FALSE
SRR8043217	leaf	Q381xPH207	E	2	TRUE	FALSE
SRR8043218	leaf	PHG39xB73	R	1	FALSE	FALSE
SRR8043219	leaf	H99xB73	S	1	TRUE	FALSE
SRR8043220	leaf	DKFAPWxB73	S	1	TRUE	FALSE
SRR8043221	leaf	Oh43xB73	E	2	TRUE	FALSE
SRR8043222	leaf	Oh43xMo17	E	2	TRUE	FALSE
SRR8043223	leaf	PHG50xB73	E	1	TRUE	FALSE
SRR8043224	leaf	PHG35xB73	E	2	TRUE	FALSE
SRR8043225	leaf	LH93xMo17	I	1	FALSE	FALSE
SRR8043226	leaf	PHG29xB73	S	2	FALSE	FALSE
SRR8043227	leaf	PHN11xMo17	S	1	FALSE	FALSE
SRR8043228	leaf	W64AxB73	S	1	FALSE	FALSE
SRR8043229	leaf	PHG72xB73	S	1	FALSE	FALSE
SRR8043230	leaf	PHJ40xMo17	S	1	FALSE	FALSE
SRR8043231	leaf	PH207xB73	I	1	FALSE	FALSE
SRR8043232	leaf	PHG39xMo17	I	1	FALSE	FALSE
SRR8043233	leaf	PHN11xB73	E	1	FALSE	FALSE
SRR8043234	leaf	Mo44xB73	I	1	FALSE	FALSE
SRR8043235	leaf	LH123HTxB73	S	1	FALSE	FALSE
SRR8043236	leaf	B84xB73	S	2	FALSE	FALSE
SRR8043237	leaf	PHN11xMo17	R	1	TRUE	FALSE
SRR8043238	leaf	LH85xPH207	E	1	TRUE	FALSE
SRR8043239	leaf	PHG47xB73	E	1	TRUE	FALSE
SRR8043240	leaf	LH145xB73	S	1	FALSE	FALSE
SRR8043241	leaf	LH123HTxMo17	I	1	TRUE	FALSE
SRR8043242	leaf	LH156xMo17	S	1	FALSE	FALSE
SRR8043243	leaf	LH85xB73	S	1	FALSE	FALSE
SRR8043244	leaf	DKFAPWxMo17	S	2	FALSE	FALSE
SRR8043245	leaf	H99xMo17	S	2	FALSE	FALSE
SRR8043246	leaf	Mo45xB73	I	1	TRUE	FALSE
SRR8043247	leaf	Mo44xMo17	I	1	TRUE	FALSE
SRR8043248	leaf	LH156xMo17	E	1	TRUE	FALSE
SRR8043249	leaf	NKS8326xB73	I	2	TRUE	FALSE
SRR8043250	leaf	NKH8431xB73	I	2	TRUE	FALSE
SRR8043251	leaf	MoGxMo17	I	2	TRUE	FALSE
SRR8043252	leaf	PHG72xB73	S	2	TRUE	FALSE
SRR8043253	leaf	DKFAPWxMo17	R	1	TRUE	FALSE
SRR8043254	leaf	Mo44xB73	R	1	FALSE	FALSE
SRR8043255	leaf	MoGxMo17	L	2	FALSE	FALSE
SRR8043256	leaf	MoGxB73	L	2	FALSE	FALSE
SRR8043257	leaf	NKH8431xB73	L	2	FALSE	FALSE
SRR8043258	leaf	NKS8326xB73	L	1	FALSE	FALSE
SRR8043259	leaf	Mo45xMo17	L	2	FALSE	FALSE
SRR8043260	leaf	Mo44xMo17	L	1	TRUE	FALSE
SRR8043261	leaf	Mo44xB73	L	1	FALSE	FALSE
SRR8043262	leaf	Mo45xB73	L	1	FALSE	FALSE
SRR8043263	leaf	NKH8431xMo17	E	1	TRUE	FALSE
SRR8043264	leaf	Ny821xPH207	E	1	TRUE	FALSE
SRR8043265	leaf	PHG29xB73	L	1	FALSE	FALSE
SRR8043266	leaf	PHG35xB73	L	1	FALSE	FALSE
SRR8043267	leaf	PHG39xMo17	S	2	FALSE	FALSE
SRR8043268	leaf	PHG50xB73	S	2	FALSE	FALSE
SRR8043269	leaf	NKS8326xB73	E	1	TRUE	FALSE
SRR8043270	leaf	NKH8431xPH207	E	1	TRUE	FALSE
SRR8043271	leaf	PHG47xB73	L_T2	1	FALSE	FALSE
SRR8043272	leaf	PHG50xB73	L	1	TRUE	FALSE
SRR8043273	leaf	W64AxMo17	L	1	FALSE	FALSE
SRR8043274	leaf	PHW65xB73	L_T2	1	FALSE	FALSE
SRR8043275	leaf	LH145xMo17	E	1	FALSE	FALSE
SRR8043276	leaf	PHB47xMo17	E	1	TRUE	FALSE
SRR8043277	leaf	MoGxB73	S	1	TRUE	FALSE
SRR8043278	leaf	NKS8326xMo17	E	1	TRUE	FALSE
SRR8043279	leaf	Mo45xMo17	R	1	FALSE	FALSE
SRR8043280	leaf	B84xMo17	E	1	TRUE	FALSE
SRR8043281	leaf	H99xMo17	E	1	TRUE	FALSE
SRR8043282	leaf	LH123HTxB73	E	1	TRUE	FALSE
SRR8043283	leaf	LH123HTxB73	R	2	FALSE	FALSE
SRR8043284	leaf	H99xPH207	E	1	TRUE	FALSE
SRR8043285	leaf	W64AxMo17XB73	L??	2	FALSE	FALSE
SRR8043286	leaf	B84xB73	R	2	FALSE	FALSE
SRR8043287	leaf	PHN11xB73	L	1	FALSE	FALSE
SRR8043288	leaf	PHN11xMo17	L	2	FALSE	FALSE
SRR8043289	leaf	PHW65xMo17	L	1	FALSE	FALSE
SRR8043290	leaf	PHJ40xB73	L	1	FALSE	FALSE
SRR8043291	leaf	PHJ40xMo17	L	1	FALSE	FALSE
SRR8043292	leaf	PHG72xB73	L	1	FALSE	FALSE
SRR8043293	leaf	Mo45xB73	R	1	FALSE	FALSE
SRR8043294	leaf	LH156xMo17	R	1	TRUE	FALSE
SRR8043295	leaf	Ny821xB73	E	1	TRUE	FALSE
SRR8043296	leaf	NC230xPH207	E	2	FALSE	FALSE
SRR8043297	leaf	LH145xPH207	E	1	TRUE	FALSE
SRR8043298	leaf	PHN11xMo17	S	2	TRUE	FALSE
SRR8043299	leaf	Mo44xMo17	L_T2	1	TRUE	FALSE
SRR8043300	leaf	PHW65xB73	R	1	FALSE	FALSE
SRR8043301	leaf	PHJ40xPH207	E	2	TRUE	FALSE
SRR8043302	leaf	NC230xB73	E	2	TRUE	FALSE
SRR8043303	leaf	MoGxB73	R	2	TRUE	FALSE
SRR8043304	leaf	MoGxMo17	R	2	TRUE	FALSE
SRR8043305	leaf	PHG50xMo17	I	1	FALSE	FALSE
SRR8043306	leaf	B84xMo17	S	1	FALSE	FALSE
SRR8043307	leaf	PHW65xB73	L_T2	2	TRUE	FALSE
