SampleID	Tissue	Genotype	Treatment	Replicate	paired	r1	r2
BR013	stem	Mo17	auricle_v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index13_S13_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index13_S13_R2_001.fastq
BR014	stem	Mo17	auricle_v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index20_S16_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index20_S16_R2_001.fastq
BR015	stem	Mo17	auricle_v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index14_S14_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index14_S14_R2_001.fastq
BR016	stem	B73xMo17	auricle_v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index21_S17_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index21_S17_R2_001.fastq
BR017	stem	B73xMo17	auricle_v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index15_S15_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index15_S15_R2_001.fastq
BR018	stem	B73xMo17	auricle_v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index22_S18_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool1_18_Index22_S18_R2_001.fastq
BR019	stem	B73	sheath_v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index2_S20_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index2_S20_R2_001.fastq
BR020	stem	B73	sheath_v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index1_S19_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index1_S19_R2_001.fastq
BR021	stem	B73	sheath_v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index4_S22_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index4_S22_R2_001.fastq
BR022	stem	Mo17	sheath_v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index3_S21_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index3_S21_R2_001.fastq
BR023	stem	Mo17	sheath_v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index5_S23_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index5_S23_R2_001.fastq
BR024	stem	Mo17	sheath_v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index8_S26_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index8_S26_R2_001.fastq
BR025	stem	B73xMo17	sheath_v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index6_S24_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index6_S24_R2_001.fastq
BR026	stem	B73xMo17	sheath_v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index9_S27_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index9_S27_R2_001.fastq
BR027	stem	B73xMo17	sheath_v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index7_S25_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index7_S25_R2_001.fastq
BR028	internode	B73	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index10_S28_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index10_S28_R2_001.fastq
BR032	internode	B73	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index12_S30_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index12_S30_R2_001.fastq
BR030	internode	B73	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index11_S29_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index11_S29_R2_001.fastq
BR031	internode	Mo17	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index13_S31_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index13_S31_R2_001.fastq
BR029	internode	Mo17	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index20_S34_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index20_S34_R2_001.fastq
BR033	internode	Mo17	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index14_S32_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index14_S32_R2_001.fastq
BR034	internode	B73xMo17	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index21_S35_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index21_S35_R2_001.fastq
BR035	internode	B73xMo17	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index15_S33_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index15_S33_R2_001.fastq
BR036	internode	B73xMo17	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index22_S36_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool2_18_index22_S36_R2_001.fastq
BR037	tassel	B73	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index2_S38_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index2_S38_R2_001.fastq
BR038	tassel	B73	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index1_S37_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index1_S37_R2_001.fastq
BR039	tassel	B73	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index4_S40_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index4_S40_R2_001.fastq
BR040	tassel	Mo17	v12	1	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index3_S39_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index3_S39_R2_001.fastq
BR041	tassel	Mo17	v12	2	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index5_S41_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index5_S41_R2_001.fastq
BR042	tassel	Mo17	v12	3	TRUE	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index8_S44_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux/briggs_pool3_18_index8_S44_R2_001.fastq
