SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR611324	SAM	M0365		1	m092	FALSE	40614830	103
SRR611325	SAM	M0367		1	m093	FALSE	39779333	103
SRR611326	SAM	M0368		1	m094	FALSE	35699291	110
SRR611327	SAM	M0369		1	m095	FALSE	24044299	103
SRR611328	SAM	M0378		1	m096	FALSE	20631164	103
SRR611329	SAM	M0379		1	m097	FALSE	36914939	103
SRR611330	SAM	M0382		1	m098	FALSE	31470347	103
SRR611331	SAM	M0383		1	m099	FALSE	32086529	110
SRR611332	SAM	M0384		1	m100	FALSE	34148148	103
SRR611333	SAM	M0044		1	m101	FALSE	28074632	103
SRR611334	SAM	M0328		1	m102	FALSE	36172662	103
SRR611335	SAM	M0165		1	m103	FALSE	33478329	103
SRR611336	SAM	M0033		1	m104	FALSE	23819908	103
SRR611337	SAM	M0034		1	m105	FALSE	19407389	103
SRR611338	SAM	B73		1	m106	FALSE	29818090	103
SRR611339	SAM	Mo17		1	m107	FALSE	32807242	110
SRR650904	SAM	M0001		2	m001	FALSE	21910626	96.4928149474141
SRR650905	SAM	M0005		2	m002	FALSE	25154413	96.02365326513483
SRR650906	SAM	M0008		2	m004	FALSE	33724422	96.15845407224474
SRR650907	SAM	M0007		2	m003	FALSE	26650860	96.11830867746858
SRR650908	SAM	M0010		2	m005	FALSE	24159316	96.01251699344468
SRR650909	SAM	B73		2	m106	FALSE	23584307	91.81227050682473
SRR650910	SAM	M0012		2	m006	FALSE	23688403	96.18534014302273
SRR650911	SAM	M0014		2	m007	FALSE	23044987	96.56017493088628
SRR650912	SAM	M0015		2	m008	FALSE	23301097	99.85697471668394
SRR650913	SAM	M0016		2	m009	FALSE	25213665	100.03251625656166
SRR650914	SAM	M0021		2	m011	FALSE	21165990	100.8787536987403
SRR650915	SAM	M0022		2	m012	FALSE	23827002	100.78816680336033
SRR650916	SAM	M0023		2	m013	FALSE	21386349	100.89870683397152
SRR650917	SAM	M0024		2	m014	FALSE	23020395	100.60205361376292
SRR650918	SAM	M0025		2	m015	FALSE	21737372	100.4964874318754
SRR650919	SAM	M0017		2	m010	FALSE	32434269	98.54394233457212
SRR650920	SAM	M0026		2	m016	FALSE	27090375	91.73922317428237
SRR650921	SAM	M0028		2	m017	FALSE	22373836	100.2581185452508
SRR650922	SAM	M0029		2	m018	FALSE	22633294	100.30397528525896
SRR650923	SAM	M0030		2	m019	FALSE	25206431	100.2583504185896
SRR650924	SAM	M0031		2	m020	FALSE	27735290	96.23903705351557
SRR650925	SAM	M0032		2	m021	FALSE	33307718	90.6158031600964
SRR650926	SAM	M0035		2	m022	FALSE	26148733	98.46655859004717
SRR650927	SAM	M0033		2	m104	FALSE	35051500	90.85636660342638
SRR650928	SAM	M0034		2	m105	FALSE	28741253	90.81030524312911
SRR650929	SAM	M0039		2	m023	FALSE	21816445	99.26217942474129
SRR650930	SAM	M0040		2	m024	FALSE	19997929	99.10793272643382
SRR650931	SAM	M0044		2	m101	FALSE	21217518	91.25915500578343
SRR650932	SAM	M0046		2	m025	FALSE	21087941	99.71808874085906
SRR650933	SAM	M0048		2	m026	FALSE	26788813	99.81183914345141
SRR650934	SAM	M0051		2	m027	FALSE	23374972	98.56683712818993
SRR650935	SAM	M0052		2	m028	FALSE	27784700	98.51987503914025
SRR650936	SAM	M0054		2	m029	FALSE	28578911	98.67592554523858
SRR650937	SAM	M0056		2	m030	FALSE	25959558	91.938440785471
SRR650938	SAM	M0057		2	m031	FALSE	24172470	98.72864428004254
SRR650939	SAM	M0058		2	m032	FALSE	26446829	98.91800548186703
SRR650940	SAM	M0060		2	m033	FALSE	29403793	98.59893272952915
SRR650941	SAM	M0061		2	m034	FALSE	25231537	98.5141154896747
SRR650942	SAM	M0062		2	m035	FALSE	18652149	98.59275604114035
SRR650943	SAM	M0063		2	m036	FALSE	30076964	98.59552140967419
SRR650944	SAM	M0066		2	m037	FALSE	23701918	98.63075106411219
SRR650945	SAM	M0067		2	m038	FALSE	23564650	98.74566479875577
SRR650946	SAM	M0074		2	m039	FALSE	25663226	98.70215778795698
SRR650947	SAM	M0075		2	m040	FALSE	23685743	98.76349405631903
SRR650948	SAM	M0077		2	m041	FALSE	21388347	98.75533915734582
SRR650949	SAM	M0079		2	m042	FALSE	24962856	98.81833721269713
SRR650950	SAM	M0080		2	m043	FALSE	29016427	91.81217377315271
SRR650951	SAM	M0099		2	m044	FALSE	22310395	91.95400664129882
SRR650952	SAM	M0116		2	m045	FALSE	24617928	96.17936871047799
SRR650953	SAM	M0141		2	m046	FALSE	33010897	91.94547412631653
SRR650954	SAM	M0165		2	m103	FALSE	29782140	96.56472409303025
SRR650955	SAM	M0176		2	m047	FALSE	28520305	91.81498444704572
SRR650956	SAM	M0200		2	m048	FALSE	16999268	91.07611586569492
SRR650957	SAM	M0232		2	m049	FALSE	23744740	91.89702519379028
SRR650958	SAM	M0248		2	m050	FALSE	24834804	91.75399056904173
SRR650959	SAM	M0262		2	m051	FALSE	24879497	98.80978863841179
SRR650960	SAM	M0264		2	m052	FALSE	22134387	99.1124102962508
SRR650961	SAM	M0265		2	m053	FALSE	24478362	96.34532310617843
SRR650962	SAM	M0266		2	m054	FALSE	20847932	96.67986321137272
SRR650963	SAM	M0267		2	m055	FALSE	21133728	99.08916855559038
SRR650964	SAM	M0269		2	m056	FALSE	29180659	98.92493229847894
SRR650965	SAM	M0270		2	m057	FALSE	27712031	91.95560116109858
SRR650966	SAM	M0272		2	m058	FALSE	27936617	96.42568826425905
SRR650967	SAM	M0275		2	m059	FALSE	26311319	93.5041797030396
SRR650968	SAM	M0276		2	m060	FALSE	21610159	96.45248394516672
SRR650969	SAM	M0278		2	m061	FALSE	23405931	91.44263921823917
SRR650970	SAM	M0281		2	m062	FALSE	14609442	99.28894053585346
SRR650971	SAM	M0284		2	m063	FALSE	27586451	91.25394977411193
SRR650972	SAM	M0287		2	m064	FALSE	28146642	91.44986176326114
SRR650973	SAM	M0288		2	m065	FALSE	22645150	93.80475722174505
SRR650974	SAM	M0289		2	m066	FALSE	26267248	91.55639136616063
SRR650975	SAM	M0296		2	m067	FALSE	22130239	93.72774871523077
SRR650976	SAM	M0297		2	m068	FALSE	23349802	96.44768576624332
SRR650977	SAM	M0298		2	m069	FALSE	24927492	96.47447308377433
SRR650978	SAM	M0303		2	m070	FALSE	30703781	91.58814824793077
SRR650979	SAM	M0310		2	m071	FALSE	25598751	93.30929653560051
SRR650980	SAM	M0311		2	m072	FALSE	26070703	93.13262699513703
SRR650981	SAM	M0315		2	m073	FALSE	23374914	93.22429241878709
SRR650982	SAM	M0317		2	m074	FALSE	13157741	97.27404985399849
SRR650983	SAM	M0322		2	m075	FALSE	30292441	91.71886491418766
SRR650984	SAM	M0323		2	m076	FALSE	26015491	91.74426959691054
SRR650985	SAM	M0325		2	m077	FALSE	23790290	91.75011653914265
SRR650986	SAM	M0326		2	m078	FALSE	25937457	91.8660379851425
SRR650987	SAM	M0328		2	m102	FALSE	27774709	91.87897788596094
SRR650988	SAM	M0329		2	m079	FALSE	30906855	93.31490001166408
SRR650989	SAM	M0337		2	m080	FALSE	15385997	90.77511961038338
SRR650990	SAM	M0341		2	m081	FALSE	23747949	93.11776246445535
SRR650991	SAM	M0344		2	m082	FALSE	24033479	93.91440997784798
SRR650992	SAM	M0345		2	m083	FALSE	27689938	93.29517552549233
SRR650993	SAM	M0346		2	m084	FALSE	25170928	91.90872176027837
SRR650994	SAM	M0349		2	m085	FALSE	22955932	93.26264191756623
SRR650995	SAM	M0352		2	m086	FALSE	25648412	91.99447809868308
SRR650996	SAM	M0354		2	m087	FALSE	24576279	92.166207260261
SRR650997	SAM	M0355		2	m088	FALSE	22205743	91.9508614505716
SRR650998	SAM	M0357		2	m089	FALSE	25578466	91.87070334866837
SRR650999	SAM	M0360		2	m090	FALSE	24526073	91.8621605668384
SRR651000	SAM	M0364		2	m091	FALSE	22976490	96.741984872363
SRR651001	SAM	M0365		2	m092	FALSE	31465990	91.90302094420039
SRR651002	SAM	M0367		2	m093	FALSE	30395996	92.91577305116108
SRR651003	SAM	M0368		2	m094	FALSE	27154193	96.88790795587259
SRR651004	SAM	M0369		2	m095	FALSE	18518029	92.07667824691278
SRR651005	SAM	M0378		2	m096	FALSE	15914049	91.04829210969503
SRR651006	SAM	M0379		2	m097	FALSE	28392403	91.91892169183426
SRR651007	SAM	M0382		2	m098	FALSE	24223650	91.74363376287224
SRR651008	SAM	M0383		2	m099	FALSE	24440216	96.22707336138109
SRR651009	SAM	M0384		2	m100	FALSE	26318776	92.06680759014021
SRR651010	SAM	Mo17		2	m107	FALSE	24371970	96.24017475813403
