SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR6827957	seedling	BSSSC0_015		1	TRUE
SRR6827958	seedling	BSSSC0_055		1	TRUE
SRR6827959	seedling	PHB09		1	TRUE
SRR6827960	seedling	LH211		1	TRUE
SRR6827961	seedling	BSSSC0_022		1	TRUE
SRR6827962	seedling	DKMM402A		1	TRUE
SRR6827963	seedling	PHHB9		1	TRUE
SRR6827964	seedling	LH51		1	TRUE
SRR6827965	seedling	NC362		1	TRUE
SRR6827966	seedling	LH223		1	TRUE
SRR6827967	seedling	MS153		1	TRUE
SRR6827968	seedling	N201		1	TRUE
SRR6827969	seedling	ML606		1	TRUE
SRR6827970	seedling	PHH93		1	TRUE
SRR6827971	seedling	NC364		1	TRUE
SRR6827972	seedling	A797NW		1	TRUE
SRR6827973	seedling	LH220Ht		1	TRUE
SRR6827974	seedling	PHM10		1	TRUE
SRR6827975	seedling	PHW79		1	TRUE
SRR6827976	seedling	B91		1	TRUE
SRR6827977	seedling	PHW43		1	TRUE
