SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR767698	unknown	TIL15	NA	1	21884742	21254869	629873	21254869	0	0	20006249	19030354	9402935	9921880	0	0	0	0	1248620	0	0	0	0	0	0	0	0	18145098	2666025	707077	178179	1248620
SRR767699	unknown	TIL16	NA	1	24542055	23860734	681321	23860734	0	0	22379669	21070413	10044461	10661867	0	0	0	0	1481065	0	0	0	0	0	0	0	0	19994619	3421725	871873	203921	1481065
SRR767700	unknown	TIL17	NA	1	20940234	20251209	689025	20251209	0	0	19156958	17860827	9478295	10248717	0	0	0	0	1094251	0	0	0	0	0	0	0	0	17155712	3402628	542528	162587	1094251
SRR767701	unknown	Tx303	NA	2	26313196	25466320	846876	25466320	0	0	24261805	22711070	13689895	14550706	0	0	0	0	1204515	0	0	0	0	0	0	0	0	21573117	4197830	918287	219666	1204515
SRR767702	unknown	Tx303	NA	3	25230109	24414746	815363	24414746	0	0	23201358	21729663	13019224	13825675	0	0	0	0	1213388	0	0	0	0	0	0	0	0	20697776	3928468	817608	214279	1213388
SRR767703	unknown	W64A	NA	1	22014734	21330362	684372	21330362	0	0	20258679	19041862	11679871	12482892	0	0	0	0	1071683	0	0	0	0	0	0	0	0	18082617	3482399	773724	185521	1071683
SRR767705	unknown	MR19	NA	1	29427624	28448760	978864	28448760	0	0	26624894	24450576	13767254	15149320	0	0	0	0	1823866	0	0	0	0	0	0	0	0	23072435	6529075	1146368	231773	1823866
SRR767708	unknown	MR14	NA	1	21719977	21054207	665770	21054207	0	0	19908700	18499905	10830298	11577077	0	0	0	0	1145507	0	0	0	0	0	0	0	0	17556524	3908452	758839	184542	1145507
SRR767709	unknown	MR09	NA	1	40668557	39459025	1209532	39459025	0	0	36036455	33175436	18737481	20635169	0	0	0	0	3422570	0	0	0	0	0	0	0	0	30681655	9146872	2138782	354999	3422570
SRR767712	unknown	CML333	NA	2	26377363	25524714	852649	25524714	0	0	24172506	22623034	13288923	14300659	0	0	0	0	1352208	0	0	0	0	0	0	0	0	21582716	4112708	814834	225484	1352208
SRR767716	unknown	CML322	NA	2	23053240	22345039	708201	22345039	0	0	21064711	19694690	11634228	12527369	0	0	0	0	1280328	0	0	0	0	0	0	0	0	18779673	3788823	721882	193135	1280328
SRR767717	unknown	CML322	NA	3	19471126	18869977	601149	18869977	0	0	17842217	16669340	9878278	10648321	0	0	0	0	1027760	0	0	0	0	0	0	0	0	15923292	3190237	585566	160482	1027760
SRR767718	unknown	CML333	NA	3	22182621	21500791	681830	21500791	0	0	20334223	19073960	11317515	12131711	0	0	0	0	1166568	0	0	0	0	0	0	0	0	18115604	3448453	768674	189682	1166568
SRR767719	unknown	CML133	NA	1	10108029	9761954	346075	9761954	0	0	9153161	8585184	4898713	5259429	0	0	0	0	608793	0	0	0	0	0	0	0	0	8148476	1792887	360646	76062	608793
SRR767720	unknown	CML192	NA	1	10236500	9877697	358803	9877697	0	0	9114941	8317946	4750606	5270816	0	0	0	0	762756	0	0	0	0	0	0	0	0	7851424	2685877	383484	83038	762756
SRR767721	unknown	CML202	NA	1	11140488	10747087	393401	10747087	0	0	10012984	9393591	5276250	5582617	0	0	0	0	734103	0	0	0	0	0	0	0	0	8880721	1819187	427611	85259	734103
SRR767722	unknown	CML206	NA	1	8787540	8474246	313294	8474246	0	0	7883132	7414054	4257034	4551024	0	0	0	0	591114	0	0	0	0	0	0	0	0	7013631	1400051	335166	65257	591114
SRR767724	unknown	CML330	NA	1	10488563	10136386	352177	10136386	0	0	9281126	8689142	5002998	5385977	0	0	0	0	855260	0	0	0	0	0	0	0	0	8227371	2046397	378593	83178	855260
SRR767725	unknown	CML411	NA	1	9508841	9199509	309332	9199509	0	0	8670126	8201950	4720124	5011392	0	0	0	0	529383	0	0	0	0	0	0	0	0	7746205	1355930	386635	69110	529383
SRR767726	unknown	CML418	NA	1	11665987	11270523	395464	11270523	0	0	10548252	9930707	5680139	6069710	0	0	0	0	722271	0	0	0	0	0	0	0	0	9378368	1816674	464247	88092	722271
SRR767727	unknown	CML479	NA	1	11395981	10990083	405898	10990083	0	0	10356120	9716374	5548792	5965797	0	0	0	0	633963	0	0	0	0	0	0	0	0	9218103	1903707	405656	92615	633963
SRR767728	unknown	CML504	NA	1	21361420	20626580	734840	20626580	0	0	19413889	18106593	10284903	11024621	0	0	0	0	1212691	0	0	0	0	0	0	0	0	17111662	4089911	818468	176463	1212691
SRR767729	unknown	CML505	NA	1	9919395	9570904	348491	9570904	0	0	9042528	8495749	4851313	5144086	0	0	0	0	528376	0	0	0	0	0	0	0	0	8066141	1657968	354706	74902	528376
SRR767730	unknown	CML511	NA	1	13937009	13456720	480289	13456720	0	0	12666222	11810626	6681270	7173160	0	0	0	0	790498	0	0	0	0	0	0	0	0	11165908	2706422	536009	108709	790498
SRR767731	unknown	CML69	NA	1	10055914	9719883	336031	9719883	0	0	9198594	8667195	5025682	5365743	0	0	0	0	521289	0	0	0	0	0	0	0	0	8197960	1560537	375378	93857	521289
SRR767732	unknown	CML84	NA	1	11429651	11034870	394781	11034870	0	0	10466828	9877578	5665895	6014918	0	0	0	0	568042	0	0	0	0	0	0	0	0	9384947	1651120	402555	90076	568042
SRR767733	unknown	CML85	NA	1	9299152	8965552	333600	8965552	0	0	8418494	7902106	4563542	4833167	0	0	0	0	547058	0	0	0	0	0	0	0	0	7459955	1473597	365217	76934	547058
SRR767735	unknown	CML96	NA	1	11902903	11481947	420956	11481947	0	0	10860243	10218418	5946459	6345082	0	0	0	0	621704	0	0	0	0	0	0	0	0	9696327	1847948	424600	97491	621704
SRR767736	unknown	CML99	NA	1	10235613	9883034	352579	9883034	0	0	9298154	8692240	5126732	5507431	0	0	0	0	584880	0	0	0	0	0	0	0	0	8177184	1925329	433526	81530	584880
SRR767742	unknown	CML103	NA	3	22059820	21395355	664465	21395355	0	0	20354939	19260546	11521908	12244982	0	0	0	0	1040416	0	0	0	0	0	0	0	0	18407719	2945721	672406	180421	1040416
