SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
F11	leaf_2	Mo17	day12_4pm_control	3	8208892	8132632	76260	0	0	0	0	0	0	0	0	0	0	0	0	8132632	0	0	7332151	6699974	3060732	3363780	800481	4909920	0	1667605	122449	800481
F12	leaf_2	Mo17	day15_4pm_cold	1	5018677	4920077	98600	0	0	0	0	0	0	0	0	0	0	0	0	4920077	0	0	4048295	3693260	1644030	1795043	871782	2559308	0	1055245	78707	871782
G01	leaf_2	Mo17	day9_4pm_control	1	5366242	5311143	55099	0	0	0	0	0	0	0	0	0	0	0	0	5311143	0	0	4416742	3925861	1819542	2034769	894401	2704900	0	1144444	76517	894401
G02	leaf_2	Mo17	day10_4pm_cold	1	1816565	1785481	31084	0	0	0	0	0	0	0	0	0	0	0	0	1785481	0	0	1384986	1004218	461013	658813	400495	733425	0	249457	21336	400495
G03	leaf_2	B73	day10_4pm_cold	3	4280883	4216601	64282	0	0	0	0	0	0	0	0	0	0	0	0	4216601	0	0	3950965	3462257	2402430	2709663	265636	2520373	0	883778	58106	265636
G04	leaf_2	Mo17	day11_4pm_control	2	3694335	3638903	55432	0	0	0	0	0	0	0	0	0	0	0	0	3638903	0	0	3292563	2988969	1369731	1517921	346340	2156593	0	780067	52309	346340
G05	leaf_2	Mo17	day12_4pm_cold	1	3616756	3553247	63509	0	0	0	0	0	0	0	0	0	0	0	0	3553247	0	0	3225980	2922431	1320309	1468904	327267	2138424	0	729498	54509	327267
G06	leaf_2	Mo17	day15_4pm_cold	2	2903502	2885641	17861	0	0	0	0	0	0	0	0	0	0	0	0	2885641	0	0	2628610	2398379	1083115	1198031	257031	1754965	0	593366	50048	257031
G07	leaf_7	Mo17	day15_4pm_cold	1	5671037	5581082	89955	0	0	0	0	0	0	0	0	0	0	0	0	5581082	0	0	4957512	4564644	2034004	2214653	623570	3263245	0	1201801	99598	623570
G08	leaf_2	B73	day9_4pm_control	3	6261564	6215765	45799	0	0	0	0	0	0	0	0	0	0	0	0	6215765	0	0	6021757	5465964	3821602	4192204	194008	3959875	0	1422980	83109	194008
G09	leaf_2	Mo17	day11_11am_control	2	6955521	6899944	55577	0	0	0	0	0	0	0	0	0	0	0	0	6899944	0	0	6210493	5592572	2599786	2907984	689451	4154443	0	1328478	109651	689451
G10	leaf_2	B73	day11_2pm_control	1	5574616	5509578	65038	0	0	0	0	0	0	0	0	0	0	0	0	5509578	0	0	5325252	4930151	3406427	3663979	184326	3702120	0	1153118	74913	184326
G11	leaf_2	B73	day12_4pm_cold	3	6782374	6726813	55561	0	0	0	0	0	0	0	0	0	0	0	0	6726813	0	0	6538656	6114605	4184529	4466671	188157	4615927	0	1395730	102948	188157
H01	leaf_2	Mo17	day9_4pm_control	2	2300737	2273235	27502	0	0	0	0	0	0	0	0	0	0	0	0	2273235	0	0	1936089	1637473	766144	913284	337146	1149128	0	455919	32426	337146
